Name,Lat,Long,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/16/2020
"New York,New York",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.75,0,0.090909091,0.583333333,0.315789474,1.2,0.727272727,0.621052632,0.746753247,0,0.721189591,0.758099352,1.298525799,1.113308391,0.302731411,0.461852068,0.282071713,0.274601202,0.211214953,0.198067633,0.224966398,0.169158323,0.164353029,0.134067706,0.109126984,0.151282941,0.100187852,0.092118299,0.103263912,0.107542119,0.067055255,0.068540806,0.065044818,0.064090223,0.063872963,0.061543411,0.064123658,0.049843349,0.034445004,0.034674934,0.114796542
"New York,New York",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Harris,Texas",29.85864939,-95.39339521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,5,6,6,7,9,9,11,11,13,16,23,30,55,68,74,78,134,185,203,229,445,526,563,680,847,955,1106,1284,1395,1809,2146,2341,3047,3261,3561,3629,3744,3907,4306
"Harris,Texas",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.666666667,0,0.2,0,0.166666667,0.285714286,0,0.222222222,0,0.181818182,0.230769231,0.4375,0.304347826,0.833333333,0.236363636,0.088235294,0.054054054,0.717948718,0.380597015,0.097297297,0.128078818,0.943231441,0.182022472,0.070342205,0.207815275,0.245588235,0.127508855,0.158115183,0.160940325,0.086448598,0.296774194,0.186290768,0.090866729,0.301580521,0.070233016,0.09199632,0.01909576,0.031689171,0.043536325,0.102124392
"Harris,Texas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wayne,Michigan",42.28098405,-83.281255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,6,8,14,14,23,44,67,102,477,638,876,1122,1389,1810,2316,2704,3195,3735,4470,5069,6096,6762,7518,8270,9045,9626,10093,10539,10951,11164,11648,12209,12544
"Wayne,Michigan",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0.333333333,0.75,0,0.642857143,0.913043478,0.522727273,0.52238806,3.676470588,0.337526205,0.373040752,0.280821918,0.237967914,0.303095752,0.279558011,0.167530225,0.18158284,0.169014085,0.196787149,0.134004474,0.202604064,0.109251969,0.111801242,0.100026603,0.093712213,0.064234384,0.04851444,0.044189042,0.039092893,0.019450279,0.043353637,0.048162775,0.027438775
"Wayne,Michigan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"King,Washington",47.49137892,-121.8346131,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,9,14,21,31,51,58,71,83,83,116,190,270,328,387,387,488,569,562,693,793,934,1040,1170,1170,1359,1577,1577,2077,2159,2161,2330,2330,2656,2787,2898,3167,3331,3486,3688,3886,4117,4262,4426,4426,4549,4697
"King,Washington",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.5,0.555555556,0.5,0.476190476,0.64516129,0.137254902,0.224137931,0.169014085,0,0.397590361,0.637931034,0.421052632,0.214814815,0.179878049,0,0.260981912,0.165983607,-0.012302285,0.233096085,0.144300144,0.177805801,0.113490364,0.125,0,0.161538462,0.160412068,0,0.317057705,0.039480019,0.000926355,0.078204535,0,0.139914163,0.049322289,0.039827772,0.092822636,0.051784023,0.046532573,0.05794607,0.053687636,0.059444159,0.03521982,0.038479587,0,0.02779033,0.032534623
