zip,Unknown,<20,20-29,30-39,40-49,50-59,60-69,70-79,80+
60178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60461,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
60510,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60155,0.0,0.0,0.0,0.0,0.0,7.0,6.0,0.0,0.0
60435,0.0,0.0,0.0,14.0,16.0,19.0,14.0,16.0,14.0
60484,0.0,0.0,0.0,0.0,10.0,7.0,0.0,0.0,0.0
60653,0.0,0.0,7.0,17.0,21.0,24.0,21.0,13.0,0.0
60633,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
60455,0.0,0.0,0.0,0.0,0.0,0.0,16.0,9.0,8.0
60504,0.0,0.0,0.0,0.0,8.0,8.0,6.0,0.0,0.0
60490,0.0,0.0,6.0,0.0,10.0,15.0,7.0,0.0,0.0
60647,0.0,0.0,17.0,23.0,14.0,17.0,6.0,6.0,0.0
62568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0
60441,0.0,0.0,9.0,7.0,11.0,9.0,9.0,0.0,0.0
62711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60639,0.0,0.0,21.0,33.0,38.0,19.0,19.0,9.0,6.0
60044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
60453,0.0,0.0,12.0,10.0,10.0,16.0,17.0,7.0,16.0
60067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60430,0.0,0.0,0.0,0.0,10.0,14.0,0.0,15.0,0.0
60090,0.0,0.0,0.0,11.0,8.0,7.0,12.0,0.0,0.0
60622,0.0,0.0,23.0,39.0,10.0,17.0,6.0,0.0,9.0
60516,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
62234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60714,0.0,0.0,11.0,0.0,8.0,8.0,7.0,7.0,7.0
61704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60422,0.0,0.0,0.0,0.0,6.0,9.0,6.0,0.0,7.0
60173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60462,0.0,0.0,6.0,6.0,0.0,10.0,9.0,0.0,0.0
60628,0.0,0.0,15.0,25.0,39.0,49.0,32.0,51.0,16.0
60201,0.0,0.0,11.0,18.0,10.0,10.0,8.0,0.0,10.0
60130,0.0,0.0,0.0,0.0,10.0,0.0,6.0,0.0,0.0
60081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60107,0.0,0.0,0.0,6.0,0.0,11.0,6.0,0.0,0.0
60436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60505,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0
60087,0.0,0.0,8.0,10.0,15.0,7.0,8.0,0.0,0.0
61910,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60064,0.0,6.0,8.0,0.0,0.0,16.0,8.0,0.0,0.0
60015,0.0,0.0,11.0,0.0,11.0,10.0,6.0,7.0,0.0
60605,0.0,0.0,0.0,21.0,0.0,0.0,7.0,0.0,0.0
61761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60007,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
60585,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
60193,0.0,0.0,0.0,7.0,0.0,0.0,7.0,0.0,0.0
60542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60442,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
62265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60642,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0
60101,0.0,0.0,8.0,10.0,6.0,9.0,6.0,0.0,8.0
60047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
60118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60450,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60473,0.0,0.0,0.0,6.0,6.0,19.0,29.0,14.0,0.0
60805,0.0,0.0,0.0,10.0,0.0,0.0,7.0,0.0,10.0
60402,0.0,0.0,15.0,13.0,29.0,23.0,15.0,14.0,0.0
62208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60164,0.0,0.0,0.0,0.0,7.0,8.0,0.0,0.0,0.0
60187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
