zip,Male,Female,Unknown/Left Blank
60104,38.0,54.0,0.0
60098,15.0,12.0,0.0
60004,16.0,14.0,0.0
61802,0.0,0.0,0.0
60142,6.0,8.0,0.0
62040,0.0,13.0,0.0
60165,0.0,0.0,0.0
60428,14.0,31.0,0.0
60451,11.0,15.0,0.0
62226,0.0,10.0,0.0
60305,0.0,8.0,0.0
60188,25.0,22.0,0.0
60136,0.0,0.0,0.0
60468,0.0,0.0,0.0
60706,17.0,14.0,0.0
60514,7.0,10.0,0.0
60660,30.0,31.0,0.0
61201,8.0,9.0,0.0
60620,110.0,158.0,0.0
60614,52.0,60.0,0.0
60073,31.0,42.0,0.0
60534,0.0,0.0,0.0
60156,7.0,6.0,0.0
60062,29.0,29.0,0.0
60560,6.0,6.0,0.0
60554,0.0,0.0,0.0
60626,41.0,51.0,0.0
60411,66.0,92.0,0.0
60085,97.0,77.0,0.0
60013,0.0,16.0,0.0
60434,17.0,0.0,0.0
61244,15.0,7.0,0.0
60654,19.0,20.0,0.0
60634,69.0,66.0,0.0
60646,27.0,21.0,0.0
60540,6.0,10.0,0.0
60491,13.0,16.0,0.0
60042,0.0,0.0,0.0
62269,7.0,6.0,0.0
60056,24.0,25.0,0.0
60050,7.0,9.0,0.0
62220,0.0,0.0,0.0
60448,11.0,10.0,0.0
61081,6.0,6.0,0.0
60099,33.0,30.0,0.0
61822,6.0,10.0,0.0
60640,66.0,35.0,0.0
62206,0.0,0.0,0.0
60425,12.0,24.0,0.0
60093,35.0,32.0,0.0
60022,7.0,6.0,0.0
60070,6.0,0.0,0.0
60139,19.0,18.0,0.0
60477,13.0,19.0,0.0
60803,9.0,12.0,0.0
60431,16.0,24.0,0.0
60185,19.0,21.0,0.0
60162,14.0,11.0,0.0
60563,8.0,17.0,0.0
60657,70.0,49.0,0.0
60030,11.0,10.0,0.0
60611,27.0,30.0,0.0
60623,94.0,69.0,0.0
60471,30.0,24.0,0.0
60417,19.0,12.0,0.0
60517,20.0,12.0,0.0
60176,9.0,0.0,0.0
60617,105.0,103.0,0.0
60076,41.0,55.0,0.0
60202,26.0,32.0,0.0
60010,10.0,8.0,0.0
60133,24.0,12.0,0.0
61241,0.0,6.0,0.0
60016,47.0,39.0,0.0
60457,10.0,9.0,0.0
60302,23.0,23.0,0.0
60053,31.0,12.0,0.0
60551,0.0,0.0,0.0
62223,0.0,6.0,0.0
60637,62.0,62.0,0.0
60643,90.0,84.0,0.0
62901,7.0,8.0,0.0
60102,15.0,8.0,0.0
60445,11.0,14.0,0.0
60543,11.0,17.0,0.0
60002,9.0,0.0,0.0
60403,29.0,8.0,0.0
60712,18.0,19.0,0.0
60048,16.0,14.0,0.0
60449,9.0,9.0,0.0
62702,0.0,0.0,0.0
60426,27.0,38.0,0.0
60827,33.0,49.0,0.0
60163,0.0,8.0,0.0
60804,60.0,59.0,0.0
60140,0.0,6.0,0.0
60950,0.0,0.0,0.0
62278,0.0,0.0,0.0
60432,11.0,16.0,0.0
60077,41.0,37.0,0.0
60409,30.0,63.0,0.0
60171,7.0,12.0,0.0
60612,76.0,76.0,0.0
60526,0.0,7.0,0.0
60031,17.0,23.0,0.0
60466,56.0,54.0,0.0
60472,9.0,7.0,0.0
60618,79.0,55.0,0.0
60025,43.0,52.0,0.0
60652,59.0,56.0,0.0
60154,19.0,30.0,0.0
60558,6.0,0.0,0.0
60177,0.0,0.0,0.0
60440,42.0,36.0,0.0
60203,9.0,0.0,0.0
60632,49.0,41.0,0.0
60134,0.0,9.0,0.0
61265,8.0,9.0,0.0
60532,6.0,10.0,0.0
60148,20.0,29.0,0.0
60160,21.0,23.0,0.0
60503,0.0,7.0,0.0
60005,11.0,6.0,0.0
60538,0.0,0.0,0.0
62959,0.0,0.0,0.0
60638,47.0,48.0,0.0
60446,19.0,29.0,0.0
60901,57.0,33.0,0.0
60546,13.0,9.0,0.0
60452,24.0,11.0,0.0
60120,23.0,14.0,0.0
60523,10.0,7.0,0.0
60191,0.0,0.0,0.0
60475,15.0,13.0,0.0
60045,23.0,32.0,0.0
60068,35.0,26.0,0.0
60406,21.0,28.0,0.0
60091,27.0,33.0,0.0
62298,0.0,10.0,0.0
60429,33.0,32.0,0.0
60137,17.0,11.0,0.0
60515,6.0,11.0,0.0
60621,26.0,57.0,0.0
60609,48.0,54.0,0.0
62035,0.0,0.0,0.0
60661,6.0,10.0,0.0
60074,15.0,17.0,0.0
60423,29.0,16.0,0.0
62095,0.0,0.0,0.0
60964,0.0,0.0,0.0
60615,48.0,61.0,0.0
60469,0.0,8.0,0.0
60174,9.0,0.0,0.0
60108,7.0,12.0,0.0
60463,16.0,11.0,0.0
60131,19.0,17.0,0.0
60649,67.0,78.0,0.0
60655,35.0,30.0,0.0
60606,0.0,6.0,0.0
60506,25.0,27.0,0.0
60629,77.0,83.0,0.0
60014,10.0,14.0,0.0
60555,0.0,0.0,0.0
62650,0.0,0.0,0.0
60194,8.0,9.0,0.0
60586,31.0,22.0,0.0
62221,6.0,10.0,0.0
60008,9.0,7.0,0.0
62258,0.0,0.0,0.0
60443,45.0,56.0,0.0
61282,0.0,0.0,0.0
60641,42.0,33.0,0.0
60051,9.0,7.0,0.0
