White,Black,Left Blank,Other,Asian,Hispanic,NH/PI*,AI/AN**
49.0,10.0,29.0,10.0,0.0,7.0,0.0,0.0
15.0,0.0,10.0,6.0,6.0,0.0,0.0,0.0
15.0,0.0,10.0,7.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0,6.0,21.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,14.0,6.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
23.0,24.0,36.0,0.0,0.0,11.0,0.0,0.0
0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,84.0,21.0,0.0,0.0,0.0,0.0,0.0
0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
23.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,6.0,9.0,0.0,0.0,0.0,0.0,0.0
12.0,13.0,12.0,0.0,0.0,0.0,0.0,0.0
27.0,6.0,23.0,7.0,0.0,23.0,0.0,0.0
15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,33.0,35.0,0.0,0.0,61.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36.0,16.0,25.0,0.0,0.0,7.0,0.0,0.0
10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,27.0,12.0,0.0,0.0,0.0,0.0,0.0
11.0,0.0,0.0,0.0,6.0,16.0,0.0,0.0
36.0,16.0,30.0,9.0,0.0,18.0,0.0,0.0
10.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
18.0,0.0,11.0,0.0,7.0,8.0,0.0,0.0
0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
7.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0
0.0,162.0,59.0,0.0,0.0,0.0,0.0,0.0
30.0,21.0,7.0,12.0,0.0,6.0,0.0,0.0
9.0,16.0,6.0,0.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0.0,13.0,0.0,0.0,6.0,0.0,0.0
0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0
8.0,8.0,12.0,0.0,0.0,19.0,0.0,0.0
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.0,18.0,6.0,0.0,0.0,15.0,0.0,0.0
37.0,0.0,7.0,6.0,0.0,0.0,0.0,0.0
19.0,7.0,13.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
13.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0
10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0
14.0,0.0,8.0,6.0,0.0,22.0,0.0,0.0
23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,58.0,12.0,0.0,0.0,0.0,0.0,0.0
0.0,11.0,21.0,0.0,0.0,0.0,0.0,0.0
41.0,16.0,16.0,17.0,0.0,22.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,6.0,12.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,0.0,7.0,0.0,0.0,9.0,0.0,0.0
45.0,6.0,25.0,20.0,20.0,15.0,0.0,0.0
14.0,0.0,6.0,0.0,0.0,9.0,0.0,0.0
23.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0
13.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,193.0,36.0,0.0,0.0,0.0,0.0,0.0
19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,63.0,14.0,0.0,0.0,0.0,0.0,0.0
8.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0
51.0,0.0,16.0,7.0,0.0,0.0,0.0,0.0
0.0,94.0,35.0,0.0,0.0,19.0,0.0,0.0
0.0,53.0,7.0,0.0,0.0,0.0,0.0,0.0
12.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
16.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0
33.0,0.0,28.0,11.0,16.0,35.0,0.0,0.0
16.0,0.0,6.0,0.0,0.0,8.0,0.0,0.0
10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0
24.0,48.0,30.0,0.0,0.0,47.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,10.0,25.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105.0,30.0,53.0,45.0,16.0,23.0,0.0,0.0
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,70.0,14.0,0.0,0.0,0.0,0.0,0.0
11.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0
13.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,36.0,8.0,0.0,0.0,0.0,0.0,0.0
7.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
13.0,0.0,8.0,0.0,0.0,6.0,0.0,0.0
6.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
17.0,11.0,17.0,7.0,0.0,9.0,0.0,0.0
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,183.0,82.0,0.0,0.0,0.0,0.0,0.0
62.0,12.0,26.0,0.0,0.0,6.0,0.0,0.0
20.0,11.0,14.0,7.0,0.0,22.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.0,0.0,9.0,7.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,23.0,10.0,10.0,0.0,28.0,0.0,0.0
21.0,96.0,30.0,0.0,0.0,10.0,0.0,0.0
19.0,28.0,37.0,8.0,0.0,85.0,0.0,0.0
13.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0
17.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0
35.0,0.0,49.0,8.0,0.0,37.0,0.0,0.0
24.0,0.0,10.0,0.0,0.0,7.0,0.0,0.0
8.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
8.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0
18.0,0.0,13.0,7.0,0.0,8.0,0.0,0.0
12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0
8.0,24.0,9.0,0.0,0.0,19.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.0,14.0,24.0,8.0,9.0,12.0,0.0,0.0
0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,25.0,6.0,0.0,0.0,0.0,0.0,0.0
42.0,0.0,14.0,7.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,9.0,0.0,0.0,13.0,0.0,0.0
17.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0
12.0,8.0,11.0,0.0,0.0,0.0,0.0,0.0
10.0,0.0,8.0,0.0,0.0,17.0,0.0,0.0
0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
65.0,6.0,29.0,6.0,6.0,8.0,0.0,0.0
12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,0.0,19.0,0.0,6.0,0.0,0.0,0.0
7.0,75.0,27.0,12.0,0.0,42.0,0.0,0.0
0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,12.0,8.0,0.0,0.0,0.0,0.0,0.0
15.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,133.0,43.0,0.0,0.0,18.0,0.0,0.0
31.0,9.0,21.0,18.0,13.0,0.0,0.0,0.0
12.0,25.0,9.0,0.0,0.0,8.0,0.0,0.0
11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,6.0,10.0,0.0,0.0,8.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,0.0,14.0,18.0,13.0,6.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,18.0,15.0,0.0,0.0,0.0,0.0,0.0
17.0,0.0,0.0,8.0,13.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
0.0,90.0,27.0,0.0,0.0,0.0,0.0,0.0
10.0,89.0,76.0,0.0,0.0,0.0,0.0,0.0
0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
9.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0
10.0,7.0,0.0,0.0,0.0,6.0,0.0,0.0
0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0
16.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0
22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,48.0,11.0,0.0,0.0,0.0,0.0,0.0
0.0,62.0,18.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.0,9.0,25.0,16.0,0.0,36.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,8.0,17.0,0.0,0.0,0.0,0.0,0.0
15.0,0.0,25.0,18.0,15.0,0.0,0.0,0.0
0.0,69.0,19.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
12.0,71.0,62.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,0.0,9.0,6.0,0.0,0.0,0.0,0.0
23.0,54.0,24.0,0.0,0.0,0.0,0.0,0.0
0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
42.0,6.0,32.0,13.0,6.0,35.0,0.0,0.0
57.0,0.0,10.0,15.0,12.0,0.0,0.0,0.0
13.0,50.0,43.0,0.0,0.0,7.0,0.0,0.0
12.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,19.0,31.0,0.0,0.0,15.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.0,0.0,20.0,7.0,0.0,47.0,0.0,0.0
11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.0,11.0,6.0,0.0,0.0,6.0,0.0,0.0
25.0,0.0,6.0,0.0,0.0,9.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.0,9.0,45.0,6.0,0.0,16.0,0.0,0.0
12.0,6.0,8.0,0.0,6.0,13.0,0.0,0.0
37.0,15.0,37.0,0.0,0.0,0.0,0.0,0.0
12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,8.0,13.0,0.0,0.0,0.0,0.0,0.0
19.0,0.0,7.0,0.0,0.0,8.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
33.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0
38.0,0.0,8.0,0.0,8.0,0.0,0.0,0.0
0.0,18.0,20.0,0.0,0.0,8.0,0.0,0.0
42.0,0.0,6.0,12.0,0.0,0.0,0.0,0.0
10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,48.0,7.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,6.0,0.0,0.0,9.0,0.0,0.0
7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
0.0,62.0,20.0,0.0,0.0,0.0,0.0,0.0
15.0,29.0,25.0,0.0,0.0,26.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
10.0,0.0,6.0,6.0,0.0,8.0,0.0,0.0
16.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,67.0,29.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.0,0.0,7.0,0.0,0.0,8.0,0.0,0.0
0.0,114.0,28.0,0.0,0.0,0.0,0.0,0.0
15.0,11.0,37.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
19.0,10.0,0.0,0.0,0.0,21.0,0.0,0.0
16.0,47.0,51.0,6.0,0.0,41.0,0.0,0.0
18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.0,11.0,15.0,0.0,0.0,10.0,0.0,0.0
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,79.0,13.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.0,0.0,27.0,0.0,0.0,21.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
